underwrittencoverid,policyid,transactionmonth,isvatregistered,citizenship,legaltype,title,language,bank,accounttype,maritalstatus,gender,country,province,postalcode,maincrestazone,subcrestazone,itemtype,mmcode,vehicletype,registrationyear,make,model,cylinders,cubiccapacity,kilowatts,bodytype,numberofdoors,vehicleintrodate,customvalueestimate,alarmimmobiliser,trackingdevice,capitaloutstanding,newvehicle,writtenoff,rebuilt,converted,crossborder,numberofvehiclesinfleet,suminsured,termfrequency,calculatedpremiumperterm,excessselected,covercategory,covertype,covergroup,section,product,statutoryclass,statutoryrisktype,totalpremium,totalclaims,margin
147650,12570,2015-08-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,3610,Natal,Natal 3,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002014,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,284000.0,Yes,Yes,284000.0,More than 6 months,No,No,No,No,,5000.0,Monthly,5.5878,No excess,Keys and Alarms,Keys and Alarms,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,4.901578947368,0.0,4.901578947368
145245,12827,2015-02-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1459,Rand East,Rand East,Mobility - Motor,44069150.0,Passenger Vehicle,1970-01-01 00:00:00.000002004,MERCEDES-BENZ,E 240,6.0,2597.0,130.0,S/D,4.0,2002-06-01,119300.0,Yes,No,119300.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,1.1508,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,1.00947368421,0.0,1.00947368421
50194,283,2015-03-01,False,  ,Close Corporation,Mr,English,Standard Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4093,Natal (Durban),Durban,Mobility - Motor,64082300.0,Medium Commercial,1970-01-01 00:00:00.000002009,VOLKSWAGEN,CRAFTER 50 HR 80 F/C P/V,5.0,2459.0,80.0,P/V,2.0,2007-04-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,7.532,No excess,Cleaning and Removal of Accident Debris,Cleaning and Removal of Accident Debris,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,6.607017543859,0.0,6.607017543859
129829,9774,2015-03-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,2000,Johannesburg,Johannesburg,Mobility - Motor,28524090.0,Heavy Commercial,1970-01-01 00:00:00.000002008,IVECO,50 C15V 15 F/C P/V,4.0,2798.0,107.0,P/V,5.0,2004-07-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,3500.0,Monthly,2.2044,No excess,Signage and Vehicle Wraps,Signage and Vehicle Wraps,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1.933684210526,0.0,1.933684210526
47091,4166,2014-08-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Western Cape,7501,Karoo 1 (Northeast of Cape Town),Northeast of CT,Mobility - Motor,60058415.0,Passenger Vehicle,1970-01-01 00:00:00.000002005,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,2007-11-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,3500.0,Monthly,1.6545,No excess,Signage and Vehicle Wraps,Signage and Vehicle Wraps,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1.451315789473,0.0,1.451315789473
124138,10358,2015-05-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Mpumalanga,1059,Transvaal (all except Pretoria),Transvaal East,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,2.0572,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1.804561403508,0.0,1.804561403508
113711,8550,2015-01-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Mpumalanga,1085,Transvaal (all except Pretoria),Transvaal East,Mobility - Motor,60058415.0,Passenger Vehicle,1970-01-01 00:00:00.000002008,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,2007-11-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,1.3765,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1.20745614035,0.0,1.20745614035
135513,11612,2015-08-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1830,Transvaal (all except Pretoria),Transvaal South,Mobility - Motor,60058407.0,Passenger Vehicle,1970-01-01 00:00:00.000002014,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,2012-04-01,320000.0,Yes,Yes,333000.0,More than 6 months,No,No,No,No,,7500.0,Monthly,110.0,No excess,Basic Excess Waiver (2015),Basic Excess Waiver,Basic Excess Waiver,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,96.491228070175,0.0,96.491228070175
182492,7122,2015-05-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1724,Transvaal (all except Pretoria),Rand West,Mobility - Motor,60058418.0,Passenger Vehicle,1970-01-01 00:00:00.000002011,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,2010-10-01,220000.0,Yes,Yes,215000.0,More than 6 months,No,No,No,No,,7500.0,Monthly,6.7784,No excess,Cleaning and Removal of Accident Debris,Cleaning and Removal of Accident Debris,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,5.94596491228,0.0,5.94596491228
211539,13875,2015-05-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4000,Natal (Durban),Durban,Mobility - Motor,60058418.0,Passenger Vehicle,1970-01-01 00:00:00.000002009,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,2010-10-01,160000.0,Yes,Yes,0.0,More than 6 months,No,No,No,No,,160000.0,Monthly,965.4937,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,846.924298245614,0.0,846.924298245614
31087,2227,2015-03-01,False,  ,Individual,Mr,English,ABSA Bank,Savings account,Not specified,Not specified,South Africa,Gauteng,1632,Rand East,Rand East,Mobility - Motor,60058415.0,Passenger Vehicle,1970-01-01 00:00:00.000002009,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,2007-11-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,0.01,Monthly,18.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,15.78947368421,0.0,15.78947368421
86227,6874,2015-01-01,False,  ,Individual,Mr,English,ABSA Bank,Savings account,Not specified,Not specified,South Africa,Gauteng,2000,Johannesburg,Johannesburg,Mobility - Motor,60058415.0,Passenger Vehicle,1970-01-01 00:00:00.000002008,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,2007-11-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,90.0,No excess,Basic Excess Waiver,Basic Excess Waiver,Basic Excess Waiver,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,78.947368421052,0.0,78.947368421052
166233,14248,2015-04-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,2000,Johannesburg,Johannesburg,Mobility - Motor,44004755.0,Medium Commercial,1970-01-01 00:00:00.000002013,MERCEDES-BENZ,SPRINTER 519 CDi DC F/C C/C,6.0,2987.0,140.0,C/C,4.0,2011-12-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,3500.0,Monthly,2.8658,No excess,Signage and Vehicle Wraps,Signage and Vehicle Wraps,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.513859649122,0.0,2.513859649122
113738,8550,2014-12-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Mpumalanga,1085,Transvaal (all except Pretoria),Transvaal East,Mobility - Motor,60058415.0,Passenger Vehicle,1970-01-01 00:00:00.000002007,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,2007-11-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,114000.0,Monthly,402.4311,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,353.009736842105,0.0,353.009736842105
196930,17598,2015-08-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1739,Transvaal (all except Pretoria),Rand West,Mobility - Motor,60058407.0,Passenger Vehicle,1970-01-01 00:00:00.000002014,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,2012-04-01,220000.0,Yes,Yes,300000.0,More than 6 months,No,No,No,No,,3500.0,Monthly,2.5718,No excess,Signage and Vehicle Wraps,Signage and Vehicle Wraps,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.25596491228,0.0,2.25596491228
75962,5311,2015-05-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,120,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,7.1785,No excess,Emergency Charges,Emergency Charges,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,6.296929824561,0.0,6.296929824561
211897,16237,2015-05-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4000,Natal (Durban),Durban,Mobility - Motor,60056925.0,Passenger Vehicle,1970-01-01 00:00:00.000002003,TOYOTA,HiACE SUPER 16 F/Lift,4.0,2237.0,75.0,B/S,4.0,1992-11-01,37000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,0.01,Monthly,25.0,Mobility - Windscreen (Feb2015),Windscreen (2015),Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,21.929824561403,0.0,21.929824561403
153963,12284,2015-05-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,186,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002013,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,26550000.0,Yes,Yes,264500.0,More than 6 months,No,No,No,No,,500000.0,Monthly,293.4004,No excess,Third Party,Third Party,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,257.368771929825,0.0,257.368771929825
124830,7790,2015-02-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Western Cape,7437,Karoo 1 (Northeast of Cape Town),Northeast of CT,Mobility - Motor,44047212.0,Passenger Vehicle,1970-01-01 00:00:00.000002013,MERCEDES-BENZ,C200 BE CLASSIC,4.0,1796.0,135.0,S/D,4.0,2011-06-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7000.0,Monthly,85.0,No excess,Income Protector,Income Protector,Income Protector,Optional Extended Covers,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,74.561403508771,0.0,74.561403508771
255567,21619,2015-07-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4001,Natal (Durban),Durban,Mobility - Motor,60058420.0,Passenger Vehicle,1970-01-01 00:00:00.000002008,TOYOTA,QUANTUM 2.7 14 SEAT,4.0,2694.0,111.0,B/S,4.0,2005-03-01,133000.0,Yes,No,133000.0,More than 6 months,No,No,No,No,,0.01,Monthly,25.0,Mobility - Windscreen (Feb2015),Windscreen (2015),Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,21.929824561403,0.0,21.929824561403
253439,21425,2015-08-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,2000,Johannesburg,Johannesburg,Mobility - Motor,60027551.0,Passenger Vehicle,1970-01-01 00:00:00.000002015,TOYOTA                             ,COROLLA 1.6 SPRINTER,4.0,1598.0,90.0,S/D,4.0,2014-02-01,264000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,2.4396,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.14,0.0,2.14
236873,20308,2015-06-01,False,  ,Individual,Mr,English,ABSA Bank,Savings account,Not specified,Not specified,South Africa,Gauteng,1947,Transvaal (all except Pretoria),Transvaal South,Mobility - Motor,60058405.0,Passenger Vehicle,1970-01-01 00:00:00.000002010,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 15s,4.0,2494.0,75.0,B/S,4.0,2010-10-01,211000.0,Yes,Yes,211000.0,More than 6 months,No,No,No,No,,7500.0,Monthly,110.0,No excess,Basic Excess Waiver (2015),Basic Excess Waiver,Basic Excess Waiver,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,96.491228070175,0.0,96.491228070175
150810,13699,2015-03-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4057,Natal (Durban),Durban,Mobility - Motor,60058407.0,Passenger Vehicle,1970-01-01 00:00:00.000002013,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,2012-04-01,220000.0,Yes,Yes,265500.0,More than 6 months,No,No,No,No,,500000.0,Monthly,408.8927,No excess,Third Party,Third Party,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,358.677807017544,0.0,358.677807017544
224404,433,2015-08-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,162,Transvaal (Pretoria),Pretoria,Mobility - Motor,64082341.0,Medium Commercial,1970-01-01 00:00:00.000002007,VOLKSWAGEN,CRAFTER 50 2.0 TDi HR 80KW XLWB F/C P/V,4.0,1968.0,80.0,P/V,5.0,2012-01-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,1.8444,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1.617894736842,0.0,1.617894736842
237177,20718,2015-06-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1496,Rand East,Rand East,Mobility - Motor,60058418.0,Passenger Vehicle,1970-01-01 00:00:00.000002009,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,2010-10-01,220000.0,Yes,Yes,135800.0,More than 6 months,No,No,No,No,,5000.0,Monthly,3.6225,No excess,Keys and Alarms,Keys and Alarms,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,3.177631578947,0.0,3.177631578947
211945,19025,2015-02-01,False,  ,Individual,Mr,English,ABSA Bank,Savings account,Not specified,Not specified,South Africa,Gauteng,122,Transvaal (Pretoria),Pretoria,Mobility - Motor,64028722.0,Passenger Vehicle,1970-01-01 00:00:00.000002014,VOLKSWAGEN,POLO 1.6 COMFORTLINE,4.0,1598.0,77.0,S/D,4.0,2011-05-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,3.7702,No excess,Emergency Charges,Emergency Charges,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,3.307192982456,0.0,3.307192982456
76038,5311,2015-02-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,120,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058407.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,2012-04-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7000.0,Monthly,85.0,No excess,Income Protector,Income Protector,Income Protector,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,74.561403508771,0.0,74.561403508771
118176,8536,2015-04-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,2000,Johannesburg,Johannesburg,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,250000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7000.0,Monthly,85.0,No excess,Income Protector,Income Protector,Income Protector,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,74.561403508771,0.0,74.561403508771
67546,5356,2014-09-01,False,  ,Individual,Miss,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,3950,Natal,Zululand,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002013,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,220000.0,Yes,Yes,271200.0,More than 6 months,No,No,No,No,,271200.0,Monthly,689.5782,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,604.893157894737,0.0,604.893157894737
181824,10042,2015-04-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4068,Natal (Durban),Durban,Mobility - Motor,60056925.0,Passenger Vehicle,1970-01-01 00:00:00.000002005,TOYOTA,HiACE SUPER 16 F/Lift,4.0,2237.0,75.0,B/S,4.0,1992-11-01,220000.0,Yes,Yes,0.0,More than 6 months,No,No,No,No,,69500.0,Monthly,627.3765,Mobility - Taxi with value less than R100 000 - R3 000,Own Damage.,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,550.330263157895,0.0,550.330263157895
1520,174,2014-08-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Male,South Africa,Gauteng,1496,Rand East,Rand East,Mobility - Motor,60058407.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,2012-04-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,7.3295,No excess,Emergency Charges,Emergency Charges,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,6.429385964912,0.0,6.429385964912
